,experimentid,N,Aggrecan.RNA.mean,Aggrecan.RNA.sd,Aggrecan.RNA.se,Aggrecan.RNA.CV,GAPDH.RNA.mean,GAPDH.RNA.sd,GAPDH.RNA.se,GAPDH.RNA.CV,Osteopontin.RNA.mean,Ostepontin.RNA.sd,Osteopontin.RNA.se,Osteopontin.RNA.CV,LPL.RNA.mean,LPL.RNA.sd,LPL.RNA.se,LPL.RNA.CV,AggperGAPDH.RNA.mean,AggperGAPDH.RNA.sd,AggperGAPDH.RNA.se,AggperGAPDH.RNA.CV,AggGAPDH.RNA.cor,GAPDH.RNA.range,cy.RNA.range,AggGAPDH.RNA.corsquared,X,Cell.Type,Clone,Substrate,Loading,Media,Donor,Days.CM,Passage,Stain,Purpose,Date.FISHed,Date.Imaged,Good.,Data.Processed.,FISHed.Processed.By,Notes,GFP.dye,GFP.type,GFP.target,alexa.dye,alexa.target,TMR.dye,TMR.target,cy.dye,cy.target,nir.dye,nir.target,dapi.dye,dapi.target
52,G12,99,190.1212121,166.3942498,16.72325133,0.875200868,479.2525253,311.0769425,31.26440907,0.649087748,NA,NA,NA,NA,76.25252525,122.7330223,12.33513286,1.609560102,0.662181698,0.682005407,0.068544122,1.029936964,0.079011651,1344,1093,0.006242841,37,chondrocyte,het,glass,static,CM-,1,NA,0,,testing new adipo/osteo probes on cells on glass,8/26/13,8/27/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
53,G13,106,263.2924528,173.3921494,16.84133433,0.658553436,343.0566038,238.8149246,23.19575599,0.696138544,NA,NA,NA,NA,111.0849057,135.0568218,13.11787816,1.215798141,1.143354042,1.206082678,0.117145105,1.054863702,0.22049445,1103,1003,0.048617802,38,chondrocyte,het,glass,static,CM-,2,NA,0,,testing new adipo/osteo probes on cells on glass,8/26/13,8/27/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
54,G14,47,114.106383,226.137822,32.98559148,1.981815706,1013.978723,498.8229837,72.76081028,0.491946204,659.7234043,315.6022333,46.03531708,0.478385686,6.14893617,6.750132763,0.984608058,1.097772456,0.084269686,0.142207407,0.020743082,1.68752743,0.582050313,2389,1183,0.338782566,39,MSC,het,glass,static,CM-,,0,,,testing new adipo/osteo probes on cells on glass,9/16/13,9/17/13,y,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
55,G15,67,201.7313433,254.6190608,31.10666918,1.262169064,1187.761194,479.5140245,58.58196193,0.403712486,561.1044776,297.20308,36.30913514,0.529675117,6.746268657,15.14109728,1.849779441,2.244366189,0.166552266,0.199523237,0.024375643,1.197961702,0.187780181,2278,1004,0.035261396,40,MSC,het,glass,static,CM+,,0,,,testing new adipo/osteo probes on cells on glass,9/16/13,9/17/13,y,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
56,G19,119,190.2941176,182.700707,16.74814636,0.960096451,767.1764706,230.4617931,21.12639794,0.300402583,181.8067227,157.8286604,14.46812958,0.868112345,1.218487395,2.39759648,0.219787309,1.967682628,0.246134435,0.208656551,0.019127515,0.847734086,0.39096473,1185,850,0.15285342,44,chondrocyte,het,glass,static,CM-,2,NA,3,,testing new adipo/osteo probes on cells on glass,9/19/13,9/19/13,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
57,G2,53,34.45283019,71.95526549,9.883815847,2.088515373,1159.811321,428.9418132,58.91968936,0.369837581,NA,NA,NA,NA,221.9622642,332.9973991,45.74071053,1.500243297,0.050005937,0.128801714,0.017692276,2.575728443,-0.20914004,2058,378,0.043739556,2,MSC,het,glass,static,CM+,,NA,,,,6/24/13,6/25/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
58,G20,152,120.4407895,169.4588087,13.74492439,1.406988525,1726.625,660.2577443,53.5539748,0.382397883,30.96710526,50.07179187,4.061358618,1.616934855,3.059210526,6.848631664,0.555497381,2.238692501,0.071402167,0.101089528,0.008199443,1.415776759,0.270508551,3460,1083,0.073174876,46,MSC,het,glass,static,Adipo,NA,7,,,adipo/osteo media to test for expression of new adipo/osteo test genes,9/24/13,9/26/13,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
59,G21,103,724.5825243,770.640751,75.93348949,1.063565191,2118.087379,1044.573223,102.924858,0.493168145,794.7184466,468.7084343,46.18321433,0.589779231,3.417475728,5.984496755,0.589669987,1.751145357,0.322332915,0.32012062,0.031542422,0.993136614,0.525082843,6238,3687,0.275711992,47,MSC,het,glass,static,Osteo,NA,7,,,adipo/osteo media to test for expression of new adipo/osteo test genes,9/24/13,9/26/13,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
60,G22,25,105.64,110.5146597,22.10293193,1.046144071,49.2,31.19962607,6.239925213,0.634138741,34.04,80.39407109,16.07881422,2.36175297,0.76,1.164760347,0.232952069,1.532579404,2.503720555,3.176755427,0.635351085,1.268813894,0.271675552,105,387,0.073807606,48,chondrocyte,het,glass,static,Basal,4,NA,-1,,chondrocyte dedifferentiation core,10/8/13,10/9/13,?,,AC,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
61,G23,98,160.5918367,124.5679409,12.58326224,0.775680404,173.3061224,157.5443258,15.91438016,0.90905228,80.44897959,181.449895,18.32920731,2.255465462,1.336734694,1.844154194,0.186287705,1.379596267,1.446822697,2.192194641,0.221445099,1.515178498,0.656871502,1082,806,0.43148017,50,chondrocyte,het,glass,static,Basal,4,NA,0,,chondrocyte dedifferentiation core,10/15/13,10/16/13,,,AC,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
62,G24,90,175.3333333,141.9809292,14.96610402,0.809777163,489.5555556,352.2049681,37.12566342,0.719438201,105.2555556,161.274876,16.99986459,1.532221983,1.388888889,3.596797716,0.379135769,2.589694355,0.457524376,0.388929855,0.040996806,0.850074608,0.275164017,1716,636,0.075715236,51,chondrocyte,het,glass,static,Basal,6,NA,0,,chondrocyte dedifferentiation core,10/15/13,10/16/13,,,AC,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
63,G25,137,102.9562044,92.22956243,7.879703293,0.895813545,45.0729927,31.86636504,2.7225273,0.706994658,23.62773723,53.96417757,4.610470835,2.283933372,0.416058394,1.869422433,0.159715537,4.493173215,2.818972265,3.30567425,0.282422811,1.172652279,0.364996098,209,342,0.133222151,52,chondrocyte,het,glass,static,Basal,6,NA,-1,,chondrocyte dedifferentiation core,10/14/13,10/15/13,,,AC,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
64,G26,60,187.3666667,167.987587,21.68710422,0.896571359,1034.9,347.6397756,44.88010204,0.335916297,220.6333333,172.0598011,22.2128248,0.779844997,1.866666667,3.121639436,0.403001918,1.672306841,0.191690208,0.148773005,0.019206512,0.776111659,0.26517072,1478,949,0.070315511,54,chondrocyte,het,glass,static,Basal,4,NA,1,,chondrocyte dedifferentiation core,10/17/13,10/18/13,y,y,CM,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
65,G27,80,306.9375,263.4135385,29.45052891,0.85819927,992.2625,252.2159886,28.19860478,0.254182727,178.1375,162.3287603,18.14890714,0.911255408,1.5875,2.453072215,0.274261811,1.54524234,0.317681199,0.255570937,0.028573699,0.804488707,0.220428007,1003,1360,0.048588506,55,chondrocyte,het,glass,static,Basal,6,NA,1,,chondrocyte dedifferentiation core,10/17/13,10/18/13,y,y,CM,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
66,G28,103,194.1067961,181.0178689,17.83622061,0.932568424,712.592233,304.210532,29.97475439,0.426906887,245.0970874,225.8200096,22.25070671,0.921349217,4.330097087,10.73603822,1.057853279,2.479398961,0.35019552,0.370291826,0.036485938,1.057385959,-0.173146997,1401,921,0.029979882,56,chondrocyte,het,glass,static,Basal,4,NA,2,,chondrocyte dedifferentiation core,10/27/13,10/28/13,y,y,CM,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
67,G29,87,160.3333333,150.6430917,16.15063469,0.939561903,906.8390805,248.5215293,26.64430468,0.274052514,247.4022989,235.1293291,25.2085101,0.950392661,2.850574713,4.62432581,0.495779767,1.622243329,0.182998814,0.151410704,0.016232931,0.827386259,0.282828358,1402,1071,0.07999188,57,chondrocyte,het,glass,static,Basal,6,NA,2,,chondrocyte dedifferentiation core,10/27/13,10/28/13,y,y,CM,some unsegmented but overlapping cells not analyzed,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
68,G3,99,19.44444444,32.56742526,3.273149393,1.674896156,920.7070707,338.517544,34.02229329,0.367671277,NA,NA,NA,NA,0.353535354,1.605558783,0.161364729,4.541437701,0.023577641,0.043870582,0.004409159,1.860685777,0.024823687,1603,172,0.000616215,22,MSC,het,glass,static,CM+,,NA,,,small colonies before passaging,8/7/13,8/8/13,y,y,,large/small colonies,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
69,G30,113,91.19469027,102.0417333,9.599278793,1.1189438,884.7610619,298.0711586,28.04017592,0.336894526,228.8761062,184.1437294,17.3227849,0.804556371,2.097345133,3.758239999,0.35354548,1.791903459,0.112845821,0.122267841,0.011501991,1.083494621,0.038716279,1515,572,0.00149895,58,chondrocyte,het,glass,static,Basal,4,NA,3,,chondrocyte dedifferentiation core,10/30/13,10/31/13,,,AC,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
70,G31,103,137.3203883,178.5514818,17.59320026,1.30025471,1190.951456,481.1315987,47.40730508,0.403989261,266.6116505,240.0298688,23.65084573,0.900297749,2.155339806,2.74311002,0.270286662,1.272704198,0.127377951,0.152747872,0.015050695,1.199170425,0.061310499,2784,951,0.003758977,59,chondrocyte,het,glass,static,Basal,6,NA,3,,chondrocyte dedifferentiation core,10/30/13,10/31/13,,,AC,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
71,G34,106,53.66037736,60.80928607,5.906319986,1.133225092,767.0566038,257.3563707,24.99666044,0.335511577,136.7264151,115.4845306,11.21684919,0.844639498,2.094339623,3.145755423,0.305542777,1.502027364,0.0738719,0.080792692,0.00784728,1.093686405,0.161581533,1377,311,0.026108592,62,chondrocyte,het,glass,static,Basal,4,NA,5,,chondrocyte dedifferentiation core,4/17/14,4/18/14,y,y,AC,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
72,G35,113,129.4513274,113.4060334,10.66834222,0.87605153,844.4955752,313.9717948,29.53598194,0.371786193,162.9115044,149.6498626,14.07787487,0.918596039,2.575221239,3.052532057,0.287158061,1.1853475,0.16834845,0.146820763,0.013811736,0.87212423,0.035167016,1819,451,0.001236719,63,chondrocyte,het,glass,static,Basal,6,NA,5,,chondrocyte dedifferentiation core,4/17/14,4/18/14,y,y,AC,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
73,G36,99,147.5151515,106.9386973,10.74774347,0.72493365,1231.262626,343.7455034,34.54772298,0.279181302,389.0606061,268.4369275,26.97892631,0.689961727,1.303030303,2.260822252,0.227221186,1.735049635,0.129439234,0.09703392,0.009752276,0.749648441,0.033825479,1976,619,0.001144163,74,chondrocyte,het,glass,static,Basal,4,NA,7,,chondrocyte dedifferentiation core,11/21/13,11/22/13,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
74,G37,113,280.2035398,200.306335,18.84323494,0.714860116,1133.442478,425.1540884,39.99513232,0.375099837,281.0353982,188.8483391,17.76535735,0.671973496,1.761061947,2.609304561,0.245462725,1.481665404,0.291339085,0.235132202,0.022119377,0.807074006,-0.028973901,2006,862,0.000839487,75,chondrocyte,het,glass,static,Basal,6,NA,7,,chondrocyte dedifferentiation core,11/21/13,11/22/13,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
75,G38,94,122.2340426,136.4120439,14.06982803,1.115990611,558.5851064,232.0815768,23.93738691,0.41548114,167.4361702,143.2985873,14.78012075,0.855840092,1.329787234,2.122021241,0.218869779,1.595759973,0.244643713,0.248190423,0.025598888,1.014497452,0.163232845,1378,1021,0.026644962,76,chondrocyte,het,glass,static,Basal,4,NA,9,,chondrocyte dedifferentiation core,12/12/13,12/13/13,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
76,G39,108,275.6481481,338.3090805,32.55380645,1.22732216,646.6944444,343.1159162,33.01634443,0.530568832,204.1111111,238.2131039,22.92206661,1.167075631,2.12962963,3.74937401,0.360783682,1.760575622,0.418387107,0.283999387,0.027327854,0.678795742,0.670120397,2198,2788,0.449061346,77,chondrocyte,het,glass,static,Basal,6,NA,9,,chondrocyte dedifferentiation core,12/12/13,12/13/13,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
77,G4,115,30.31304348,52.34858955,4.881531146,1.726932817,1055.773913,372.5911418,34.74430313,0.352908077,NA,NA,NA,NA,160.7043478,411.6521052,38.38675674,2.561549272,0.032521055,0.058055198,0.005413675,1.785157268,-0.104112918,2027,331,0.0108395,27,MSC,het,glass,static,CM-,,0,,,glass and scaffold direct comparison,8/20/13,8/21/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
78,G42,108,400.3240741,262.3901935,25.24850814,0.655444452,1018.5,283.2545007,27.25617704,0.278109475,193.2037037,217.117168,20.89210924,1.123773323,3.657407407,3.776865231,0.363429026,1.032661886,0.400661688,0.239979505,0.023092039,0.598957953,0.288026113,1330,1132,0.082959042,80,chondrocyte,het,glass,static,Basal,1,NA,1,,chondrocyte dedifferentiation core,1/27/14,1/28/14,,y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
79,G43,112,323.5803571,230.6642441,21.79572236,0.712849958,1046.785714,412.9611684,39.0211626,0.394504016,119.5982143,165.2410993,15.61381625,1.381635171,5.160714286,6.456442514,0.610076473,1.251075366,0.318174399,0.21450339,0.020268665,0.67416923,0.379489299,3628,855,0.144012128,81,chondrocyte,het,glass,static,Basal,4B,NA,1,,chondrocyte dedifferentiation core,1/27/14,1/28/14,,Y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
80,G44,100,239.49,243.4288519,24.34288519,1.016446833,944.77,292.8003027,29.28003027,0.30991702,178.95,202.1727122,20.21727122,1.129772071,10.72,74.32729694,7.432729694,6.933516506,0.25490347,0.223886915,0.022388692,0.87832039,0.370394521,1268,1033,0.137192101,82,chondrocyte,het,glass,static,Basal,1,NA,3,,chondrocyte dedifferentiation core,3/18/14,3/19/14,,y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
81,G45,103,177.4466019,219.961571,21.6734576,1.23959303,946.2135922,365.8225931,36.04557116,0.386617352,120,162.0763558,15.96985786,1.350636298,5.737864078,36.83667215,3.629625158,6.419927633,0.187229797,0.201887038,0.019892521,1.07828477,0.343031286,1883,965,0.117670463,83,chondrocyte,het,glass,static,Basal,4B,NA,3,,chondrocyte dedifferentiation core,3/18/14,3/19/14,,y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
82,G46,91,167.3186813,177.6101148,18.61859902,1.061507976,975.3626374,315.6626721,33.09043927,0.323636215,176.0989011,175.697281,18.41807955,0.997719349,3.120879121,4.340596899,0.455018191,1.390825063,0.168442701,0.149948408,0.015718864,0.89020425,0.340130018,1873,955,0.115688429,84,chondrocyte,het,glass,static,Basal,1,NA,5,,chondrocyte dedifferentiation core,2/17/14,2/18/14,ish,y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
83,G47,102,132.127451,206.9183448,20.48796907,1.566051137,941.3921569,444.0034376,43.96289128,0.471645567,96.48039216,171.4533525,16.97641157,1.777079764,2.333333333,5.912452597,0.585420041,2.533908256,0.134246046,0.138193348,0.01368318,1.029403487,0.53441263,3131,1713,0.285596859,85,chondrocyte,het,glass,static,Basal,4B,NA,5,,chondrocyte dedifferentiation core,2/17/14,2/18/14,ish,Y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
84,G48,101,30.28712871,35.5430265,3.536663322,1.17353569,466.2178218,302.899013,30.13957828,0.649694196,184.0990099,144.4091067,14.36924318,0.784410013,1.821782178,1.966703026,0.195694265,1.079548944,0.069244948,0.075059933,0.007468742,1.08397702,0.556843394,1964,205,0.310074566,86,chondrocyte,het,glass,static,Basal,1,NA,7,,chondrocyte dedifferentiation core,3/24/14,3/25/14,ish,y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
85,G49,99,65.39393939,84.28799249,8.471261982,1.288926669,878.4646465,468.4794403,47.08395532,0.533293448,68.66666667,94.99978518,9.547837654,1.383492017,3.414141414,4.51756233,0.454032097,1.323191333,0.081318589,0.090013002,0.009046647,1.106917915,0.169403906,2619,501,0.028697683,87,chondrocyte,het,glass,static,Basal,4B,NA,7,,chondrocyte dedifferentiation core,3/24/14,3/25/14,ish,Y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
86,G5,79,62.08860759,85.04556695,9.568373841,1.369745115,786.3544304,430.7255072,48.46040567,0.547749832,NA,NA,NA,NA,521.8101266,866.8350932,97.52656755,1.661207878,0.107002448,0.203832755,0.022932977,1.904935428,0.132594177,1741,340,0.017581216,28,MSC,het,glass,static,CM+,,0,,,glass and scaffold direct comparison,8/20/13,8/22/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
87,G50,104,89.24038462,107.4905726,10.54031784,1.204505932,827.7788462,324.8737158,31.85648877,0.392464385,164.5384615,144.6939806,14.18841213,0.879393056,2.278846154,2.513871152,0.246505347,1.103133333,0.108493555,0.120878906,0.011853152,1.114157482,0.286932145,1984,481,0.082330056,99,chondrocyte,het,glass,static,Basal,1,NA,9,,chondrocyte dedifferentiation core,3/26/14,3/27/14,,y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
88,G51,103,68.34951456,71.6228834,7.0572124,1.047891618,675.4563107,249.5181151,24.58575042,0.369406742,28.15533981,34.95985296,3.444696669,1.241677536,2.291262136,3.36833894,0.331892298,1.470080131,0.099987064,0.091883242,0.009053525,0.9189513,0.367312045,1196,407,0.134918138,100,chondrocyte,het,glass,static,Basal,4B,NA,9,,chondrocyte dedifferentiation core,3/26/14,3/27/14,,y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
89,G56,39,32.41025641,35.18950049,5.634829747,1.085751993,50.51282051,59.23542317,9.485258951,1.172680966,53.66666667,57.01307945,9.129399155,1.062355518,0.538461538,0.883955043,0.141546089,1.641630794,1.138297451,1.62616003,0.260394003,1.428589714,0.173789326,313,166,0.03020273,105,chondrocyte,het,glass,static,Basal,1,NA,0,,chondrocyte dedifferentiation core,3/27/14,3/28/14,,y CMM,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
90,G57,131,116.3969466,105.7101756,9.235940924,0.908186844,150.351145,115.5952437,10.09960333,0.76883514,47.36641221,107.8404952,9.422067812,2.27672923,1.648854962,3.486068237,0.304579196,2.114235829,1.256137603,2.304654262,0.201358578,1.834714808,0.300823768,606,631,0.090494939,106,chondrocyte,het,glass,static,Basal,4B,NA,0,,chondrocyte dedifferentiation core,3/27/14,3/28/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
91,G58,102,9.676470588,30.42053819,3.012082115,3.143763825,1150.647059,433.9469249,42.96714814,0.377132954,466.0686275,232.8592938,23.05650576,0.499624476,5.5,4.272291569,0.4230199,0.776780285,0.006853732,0.015952753,0.001579558,2.327600938,0.362363074,1977,214,0.131306998,143,MSC,het,glass,static,Basal,5,0,,,MSCs het differentiation in gels core (D0 MSCs on glass),5/21/14,5/22/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
92,G60,62,183.516129,98.01835591,12.44834365,0.534113031,259.9516129,136.9018348,17.38655041,0.526643529,109.6612903,110.1123039,13.98427657,1.004112787,0.725806452,0.852563249,0.108275641,1.174642698,0.801655709,0.558159387,0.070886313,0.696258232,0.638775857,531,441,0.408034595,198,chondrocyte,het,glass,static,basal,1B,1,0,,chondrocyte redifferentiation core,7/21/14,7/22/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
93,G61,53,320.2264151,302.0109933,41.48440035,0.943117054,1071.754717,368.5906582,50.62982067,0.34391326,258.5849057,226.996055,31.18030613,0.877839542,2.924528302,4.393391263,0.603478702,1.502256367,0.308893706,0.235148794,0.032300171,0.761261205,0.605398046,2369,2145,0.366506794,199,chondrocyte,het,glass,static,basal,1B,1,5,,chondrocyte redifferentiation core,7/27/14,7/28/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
94,G62,58,184.8965517,103.6593086,13.61113405,0.560634083,259.7931034,144.8432618,19.01885203,0.557533129,139.2241379,148.2423387,19.46517269,1.064774693,1.224137931,2.192836051,0.28793348,1.791330858,0.90122878,1.185278091,0.155634638,1.315180026,0.666668266,526,471,0.444446576,208,chondrocyte,het,glass,static,basal,2,1,0,,chondrocyte redifferentiation core,7/21/14,7/22/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
95,G63,51,205.2352941,137.0018377,19.18409448,0.667535466,907.7843137,293.288821,41.0686495,0.323082054,195.8039216,168.5051951,23.59544688,0.860581309,2.529411765,2.88688719,0.404245064,1.141327494,0.253129443,0.195634921,0.027394368,0.772865135,0.080256916,1243,614,0.006441173,209,chondrocyte,het,glass,static,basal,2,1,5,,chondrocyte redifferentiation core,7/27/14,7/28/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
96,G64,56,225.2857143,128.6928287,17.19730261,0.57124274,267.5178571,149.9471411,20.03752958,0.560512643,119.0892857,131.0119046,17.50720217,1.100114959,0.75,1.013544635,0.135440599,1.351392847,0.992221663,0.71024986,0.09491113,0.715817732,0.670124162,789,660,0.449066392,218,chondrocyte,het,glass,static,basal,3,1,0,,chondrocyte redifferentiation core,7/28/14,7/29/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
97,G65,49,125.2040816,129.4750587,18.49643695,1.034112123,1088.306122,362.3743578,51.7677654,0.332970982,240.2653061,225.3100434,32.18714905,0.937755213,3.265306122,3.371297415,0.481613916,1.032459833,0.125667798,0.141839566,0.020262795,1.128686651,0.024054569,1655,535,0.000578622,219,chondrocyte,het,glass,static,basal,3,1,5,,chondrocyte redifferentiation core,7/27/14,7/28/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
98,G66,49,69.89795918,111.8861484,15.98373549,1.600706941,1083.959184,315.6336193,45.09051704,0.29118589,371.0816327,183.2557226,26.17938894,0.493842073,1.775510204,1.981847897,0.283121128,1.116213184,0.058045147,0.076575353,0.010939336,1.319237804,0.488385538,1542,541,0.238520434,186,MSC,het,glass,static,basal,8,7,,,Fig 1 - MSCs on different substrates,6/18/14,6/19/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
99,G8,108,20.48148148,41.00865682,3.946059842,2.002230984,801.9074074,320.2354723,30.81467269,0.399342205,NA,NA,NA,NA,0.675925926,1.605066183,0.154447565,2.374618463,0.024972141,0.040450155,0.003892318,1.619811235,0.242039683,2237,346,0.058583208,33,MFC,in,glass,static,CM-,,4,,,meniscus cells on scaffold (also comparison with glass),8/25/13,8/26/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
100,P5,54,109.2962963,101.4347322,13.80351867,0.928071084,220.3888889,146.3743478,19.91902575,0.664163917,115.2407407,114.488186,15.57986873,0.993469716,0.833333333,0.966417231,0.131512727,1.159700677,0.702715438,0.816948191,0.111172567,1.162559047,0.184887664,802,441,0.034183448,190,MSC,het,PA - 55kPA,static,basal,8,7,,,Fig 1 - MSCs on different substrates,6/26/14,6/27/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
101,P7,37,115.4864865,108.42986,17.82575917,0.938896517,190.3783784,131.1276628,21.55725498,0.688773925,112.8108108,118.4386475,19.4711937,1.049887388,1.351351351,2.150144907,0.353481645,1.591107232,0.704993581,0.709295415,0.116607448,1.006101947,0.474501329,450,392,0.225151512,192,MSC,het,PA - 5kPA,static,basal,8,7,,,Fig 1 - MSCs on different substrates,7/29/14,7/30/14,,,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
102,S1,115,59.62608696,104.1583192,9.712813345,1.746858204,563.3391304,258.8259554,24.13564479,0.459449631,NA,NA,NA,NA,37.13043478,61.73507657,5.756825574,1.662654287,0.140885531,0.285153813,0.02659073,2.024010633,-0.050082589,1299,852,0.002508266,3,MSC,het,scaffold,static,CM-,,NA,,,MSCs on scaffolds,6/26/13,6/27/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
103,S10,25,118.32,149.2960482,29.85920963,1.26179892,317.76,130.1740117,26.03480235,0.409661417,NA,NA,NA,NA,16.76,19.9922485,3.9984497,1.192854922,0.448405872,0.703130699,0.14062614,1.568067554,0.040261205,595,519,0.001620965,12,MSC,F,scaffold,static,CM-,,NA,,,MSCs on scaffolds (clone),7/16/13,7/17/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
104,S2,95,31.18947368,83.06473952,8.522262457,2.663229921,438.3684211,255.7624834,26.24067713,0.583441852,NA,NA,NA,NA,32.86315789,93.73918213,9.617437161,2.85240945,0.099704747,0.261920755,0.026872502,2.626963728,-0.074116923,1232,725,0.005493318,4,MSC,het,scaffold,static,CM+,,NA,,,MSCs on scaffolds,6/26/13,6/27/13,y,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
105,S24,50,4.38,9.055137227,1.280589788,2.067382929,251.94,121.5631876,17.19163085,0.482508484,NA,NA,NA,NA,2.96,3.741439208,0.529119407,1.263999732,0.02378531,0.056592636,0.008003407,2.379310401,-0.132872689,492,62,0.017655152,31,MFC,in,scaffold,static,CM-,,4,,,meniscus cells on scaffold (also comparison with glass),8/29/13,8/30/13,ish,y,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
